Sample Name,MO (g dm3),P (mg dm3),K (cmol dm3),Cu (mg dm3),Fe (mgdm3),Zn (mgdm3),Mn (mgdm3),pH (CaCl2),Al (cmol dm3),Ca (cmol dm3),Mg (cmol dm3)
Amostra 94  ,"32,17","2,01","0,22","0,00","0,00","0,00","0,00","4,70","0,06","6,60","1,50"
Amostra 95  ,"38,87","6,84","0,50","0,00","0,00","0,00","0,00","5,00","0,00","10,60","1,50"
Amostra 96  ,"30,83","1,66","0,18","0,00","0,00","0,00","0,00","5,00","0,00","7,60","1,80"
Amostra 97  ,"1,34","1,32","0,05","0,00","0,00","0,00","0,00","4,60","0,23","1,27","0,22"
Amostra 98  ,"8,04","1,32","0,14","0,00","0,00","0,00","0,00","5,10","0,00","1,92","0,39"
Amostra 99  ,"6,70","7,65","0,08","0,00","0,00","0,00","0,00","4,60","0,15","2,42","0,25"
Amostra 587  ,"53,61","15,78","0,74","0,00","0,00","0,00","0,00","6,00","0,00","9,00","1,50"
Amostra 588  ,"34,85","9,62","0,29","0,00","0,00","0,00","0,00","5,40","0,00","7,10","1,30"
Amostra 589  ,"34,85","2,66","0,17","0,00","0,00","0,00","0,00","5,40","0,00","6,50","1,30"
Amostra 590  ,"21,44","0,65","0,11","0,00","0,00","0,00","0,00","5,80","0,00","7,00","1,70"
Amostra 591  ,"44,23","5,57","1,02","0,00","0,00","0,00","0,00","6,00","0,00","9,20","1,60"
Amostra 592  ,"40,21","1,30","0,66","0,00","0,00","0,00","0,00","5,60","0,00","7,70","1,50"
Amostra 593  ,"37,53","0,65","0,61","0,00","0,00","0,00","0,00","5,80","0,00","8,30","1,60"
Amostra 594  ,"28,14","0,65","0,30","0,00","0,00","0,00","0,00","5,80","0,00","6,50","1,40"
Amostra 595  ,"54,95","4,82","0,74","0,00","0,00","0,00","0,00","6,00","0,00","9,90","1,80"
Amostra 596  ,"46,91","3,01","0,47","0,00","0,00","0,00","0,00","5,40","0,00","8,60","1,50"
Amostra 597  ,"34,85","0,32","0,26","0,00","0,00","0,00","0,00","5,40","0,00","7,60","1,60"
Amostra 598  ,"21,44","0,32","0,13","0,00","0,00","0,00","0,00","5,50","0,00","4,10","1,20"
Amostra 599  ,"50,93","1,98","0,45","0,00","0,00","0,00","0,00","5,30","0,00","8,80","1,40"
Amostra 600  ,"41,55","1,98","0,30","0,00","0,00","0,00","0,00","5,10","0,00","8,40","1,50"
Amostra 601  ,"38,87","0,65","0,17","0,00","0,00","0,00","0,00","5,20","0,00","7,80","1,60"
Amostra 602  ,"21,44","0,32","0,09","0,00","0,00","0,00","0,00","5,50","0,00","6,00","1,60"
Amostra 603  ,"46,91","11,39","1,49","0,00","0,00","0,00","0,00","5,40","0,00","8,90","1,30"
Amostra 604  ,"40,21","3,01","1,10","0,00","0,00","0,00","0,00","5,10","0,00","7,40","1,20"
Amostra 605  ,"29,48","1,30","0,83","0,00","0,00","0,00","0,00","5,00","0,00","7,00","1,40"
